Generation: 3,"Parent_1: (viridian_chupacabra, 4)","Parent_2: (nimble_sheep, 10)",New_Individual: olivine_marmot
Generation: 3,"Parent_1: (nimble_sheep, 11)","Parent_2: (hospitable_spider, 5)",New_Individual: handsome_ara
Generation: 3,"Parent_1: (viridian_chupacabra, 3)","Parent_2: (hospitable_spider, 7)",New_Individual: copper_seriema
Generation: 3,"Parent_1: (nimble_sheep, 9)","Parent_2: (manipulative_beluga, 2)",New_Individual: aspiring_mustang
Generation: 3,"Parent_1: (nimble_sheep, 6)","Parent_2: (viridian_chupacabra, 4)",New_Individual: adorable_zebra
Generation: 3,"Parent_1: (nimble_sheep, 10)","Parent_2: (viridian_chupacabra, 6)",New_Individual: melodic_albatross
Generation: 3,"Parent_1: (viridian_chupacabra, 4)","Parent_2: (nimble_sheep, 10)",New_Individual: provocative_teal
Generation: 3,"Parent_1: (hospitable_spider, 8)","Parent_2: (manipulative_beluga, 5)",New_Individual: terrestrial_grasshopper
Generation: 3,"Parent_1: (nimble_sheep, 5)","Parent_2: (hospitable_spider, 12)",New_Individual: important_armadillo
Generation: 3,"Parent_1: (nimble_sheep, 9)","Parent_2: (viridian_chupacabra, 4)",New_Individual: wondrous_jackal
Generation: 3,"Parent_1: (nimble_sheep, 5)","Parent_2: (hospitable_spider, 7)",New_Individual: tacky_ara
Generation: 3,"Parent_1: (hospitable_spider, 9)","Parent_2: (viridian_chupacabra, 7)",New_Individual: eggplant_donkey
Generation: 3,"Parent_1: (nimble_sheep, 10)","Parent_2: (viridian_chupacabra, 7)",New_Individual: observant_jaguar
Generation: 3,"Parent_1: (nimble_sheep, 11)","Parent_2: (hospitable_spider, 7)",New_Individual: gentle_skunk
Generation: 3,"Parent_1: (viridian_chupacabra, 3)","Parent_2: (nimble_sheep, 7)",New_Individual: jovial_ladybug
Generation: 3,"Parent_1: (manipulative_beluga, 8)","Parent_2: (viridian_chupacabra, 7)",New_Individual: illustrious_jackrabbit
Generation: 4,"Parent_1: (eggplant_donkey, 7)","Parent_2: (observant_jaguar, 6)",New_Individual: optimistic_oriole
Generation: 4,"Parent_1: (enthusiastic_raccoon, 5)","Parent_2: (eggplant_donkey, 9)",New_Individual: faithful_elk
Generation: 4,"Parent_1: (enthusiastic_raccoon, 7)","Parent_2: (eggplant_donkey, 2)",New_Individual: qualified_kingfisher
Generation: 4,"Parent_1: (enthusiastic_raccoon, 7)","Parent_2: (eggplant_donkey, 2)",New_Individual: active_saluki
Generation: 4,"Parent_1: (enthusiastic_raccoon, 6)","Parent_2: (observant_jaguar, 6)",New_Individual: hypersonic_barracuda
Generation: 4,"Parent_1: (observant_jaguar, 6)","Parent_2: (eggplant_donkey, 11)",New_Individual: polar_elk
Generation: 4,"Parent_1: (eggplant_donkey, 5)","Parent_2: (enthusiastic_raccoon, 7)",New_Individual: ancient_ocelot
Generation: 4,"Parent_1: (observant_jaguar, 11)","Parent_2: (gentle_skunk, 14)",New_Individual: loyal_mastodon
Generation: 4,"Parent_1: (eggplant_donkey, 2)","Parent_2: (observant_jaguar, 10)",New_Individual: puzzling_hedgehog
Generation: 4,"Parent_1: (enthusiastic_raccoon, 7)","Parent_2: (observant_jaguar, 6)",New_Individual: stalwart_rat
Generation: 4,"Parent_1: (eggplant_donkey, 7)","Parent_2: (enthusiastic_raccoon, 7)",New_Individual: brilliant_aardwark
Generation: 4,"Parent_1: (eggplant_donkey, 6)","Parent_2: (observant_jaguar, 10)",New_Individual: space_buffalo
Generation: 4,"Parent_1: (gentle_skunk, 13)","Parent_2: (eggplant_donkey, 3)",New_Individual: invisible_lizard
Generation: 4,"Parent_1: (eggplant_donkey, 6)","Parent_2: (enthusiastic_raccoon, 6)",New_Individual: portable_jackdaw
Generation: 4,"Parent_1: (enthusiastic_raccoon, 8)","Parent_2: (eggplant_donkey, 11)",New_Individual: quaint_turtle
Generation: 4,"Parent_1: (gentle_skunk, 12)","Parent_2: (eggplant_donkey, 7)",New_Individual: pumpkin_chipmunk
Generation: 4,"Parent_1: (eggplant_donkey, 1)","Parent_2: (observant_jaguar, 7)",New_Individual: statuesque_tortoise
Generation: 4,"Parent_1: (enthusiastic_raccoon, 9)","Parent_2: (eggplant_donkey, 2)",New_Individual: copper_civet
Generation: 4,"Parent_1: (enthusiastic_raccoon, 5)","Parent_2: (observant_jaguar, 6)",New_Individual: refined_ermine
Generation: 4,"Parent_1: (gentle_skunk, 16)","Parent_2: (eggplant_donkey, 3)",New_Individual: solid_wapiti
Generation: 5,"Parent_1: (brilliant_aardwark, 1)","Parent_2: (portable_jackdaw, 7)",New_Individual: tangerine_cockle
Generation: 5,"Parent_1: (brilliant_aardwark, 3)","Parent_2: (portable_jackdaw, 9)",New_Individual: cyan_ermine
Generation: 5,"Parent_1: (optimistic_oriole, 1)","Parent_2: (brilliant_aardwark, 10)",New_Individual: smoky_swift
Generation: 5,"Parent_1: (brilliant_aardwark, 4)","Parent_2: (portable_jackdaw, 5)",New_Individual: merry_beetle
Generation: 5,"Parent_1: (portable_jackdaw, 10)","Parent_2: (optimistic_oriole, 10)",New_Individual: laughing_binturong
Generation: 5,"Parent_1: (portable_jackdaw, 2)","Parent_2: (quaint_turtle, 7)",New_Individual: majestic_wolf
Generation: 5,"Parent_1: (brilliant_aardwark, 1)","Parent_2: (portable_jackdaw, 8)",New_Individual: modest_bull
Generation: 5,"Parent_1: (quaint_turtle, 5)","Parent_2: (optimistic_oriole, 9)",New_Individual: tourmaline_pogona
Generation: 5,"Parent_1: (brilliant_aardwark, 7)","Parent_2: (quaint_turtle, 8)",New_Individual: nifty_lorikeet
Generation: 5,"Parent_1: (portable_jackdaw, 1)","Parent_2: (quaint_turtle, 6)",New_Individual: neat_lori
Generation: 5,"Parent_1: (brilliant_aardwark, 6)","Parent_2: (portable_jackdaw, 2)",New_Individual: famous_dogfish
Generation: 5,"Parent_1: (brilliant_aardwark, 3)","Parent_2: (optimistic_oriole, 5)",New_Individual: cerise_shrimp
Generation: 5,"Parent_1: (brilliant_aardwark, 3)","Parent_2: (portable_jackdaw, 2)",New_Individual: marvellous_rattlesnake
Generation: 5,"Parent_1: (brilliant_aardwark, 6)","Parent_2: (portable_jackdaw, 3)",New_Individual: smart_poodle
Generation: 5,"Parent_1: (brilliant_aardwark, 4)","Parent_2: (portable_jackdaw, 2)",New_Individual: wine_orca
Generation: 5,"Parent_1: (optimistic_oriole, 6)","Parent_2: (brilliant_aardwark, 2)",New_Individual: victorious_swift
Generation: 5,"Parent_1: (portable_jackdaw, 8)","Parent_2: (brilliant_aardwark, 7)",New_Individual: electric_nyala
Generation: 5,"Parent_1: (optimistic_oriole, 5)","Parent_2: (brilliant_aardwark, 6)",New_Individual: exuberant_snail
Generation: 5,"Parent_1: (brilliant_aardwark, 1)","Parent_2: (quaint_turtle, 8)",New_Individual: banana_bat
Generation: 5,"Parent_1: (brilliant_aardwark, 9)","Parent_2: (portable_jackdaw, 9)",New_Individual: satisfied_cow
